percentage,gemiddeldNormTAT,gemiddeldWait
1,24.76,23.76
2,33.84,32.84
3,20.45,32.88
4,12.51666666666667,32.41
5,8.216666666666667,27.82
6,7.284000000000001,29.0
7,5.6679999999999975,27.39
8,6.337261904761907,37.04
9,4.936527777777779,32.1
10,4.81277777777778,34.54
11,4.052090909090908,31.18
12,4.028939393939394,34.16
13,3.5257051282051277,31.24
14,3.1199450549450543,28.95
15,3.0579047619047617,30.19
16,3.16575,33.88
17,2.8720220588235303,31.3
18,2.6062865497076024,29.01
19,2.2231315789473682,23.41
20,2.374190476190476,27.94
21,2.4909307359307364,31.87
22,2.615810276679842,36.61
23,2.39054347826087,33.04
24,2.8214615384615396,46.47
25,3.2354558404558413,59.37
26,3.7792245940521805,77.86
27,3.653735632183908,78.08
28,3.647032258064516,80.82
29,3.1311785190615837,68.33
30,3.15306595365419,71.68
31,3.0339477124183016,70.71
32,3.052732732732732,74.61
33,3.0491479738848155,77.39
34,2.7496923076923094,69.1
35,3.0217203832752606,82.91
36,3.1588316722037666,91.96
37,2.860875968992249,82.5
38,2.5840241545893723,71.97
39,2.549037927844589,72.43
40,2.5789710884353743,76.34
41,2.561661544617847,77.91
42,2.6263650075414784,83.86
43,2.362741224533677,72.51
44,2.4198571428571425,78.27
45,2.149761904761905,65.06
46,2.225378254227034,71.41
47,2.309339631379087,78.91
48,2.2905073321413876,80.51
49,2.034816756160506,66.78
50,2.1961007130124774,79.65
51,2.1434012300572403,78.66
52,2.0474563492063487,74.34
53,2.0608096795425563,77.69
54,3.4133644418170723,182.77
55,5.051944764096664,315.29
56,4.473777113611501,278.14
57,4.72912284445564,307.49
58,5.082186502507982,345.98
59,4.161841510534373,275.67
60,4.83050413880751,343.77
61,4.137863230738405,289.39
62,4.4653478307986845,329.25
63,4.257990358162946,318.58
64,4.344953863621656,335.72
65,3.997032781372446,309.27
66,4.092504076714445,328.5
67,3.8076601194079096,306.42
68,3.658997193638845,298.88
69,3.9039820429911765,337.01
70,4.076109106254247,369.33
71,3.809760182362283,347.54
72,3.467927367999786,313.7
73,3.6301582735271705,344.36
74,3.3169501992748036,311.03
75,3.1051363669612515,290.27
76,3.5789650608190446,364.63
77,3.26668225220463,330.15
78,3.2089681963958934,331.76
79,3.235082456293331,346.05
80,2.7337591493572053,275.37
81,2.935703717100908,318.7
82,2.7899086856894373,304.77
83,6.371978662264664,952.09
84,8.741414629292448,1417.98
85,7.9835767188659625,1325.62
86,9.135827730985547,1596.59
87,8.254540130937867,1483.22
88,8.09438398160665,1504.05
89,6.362016653003867,1176.58
90,8.636507177356364,1744.45
91,6.543795963587347,1316.89
92,6.309389455581968,1316.2
93,6.632327016273962,1460.81
94,6.49663352614745,1509.78
95,6.40186447025076,1563.06
96,5.920444450978713,1515.4
97,8.702020614032962,2576.64
98,9.409008131521702,3060.31
99,8.40692547893034,3056.8
100,7.732911392484737,3768.01
