percentage,gemiddeldNormTAT,gemiddeldWait
1,66.52,65.52
2,86.91,85.91
3,47.995,85.06
4,31.964999999999996,87.86
5,27.3375,100.49
6,19.5045,87.83
7,17.436666666666664,96.27
8,14.65529761904762,95.69
9,12.84013888888889,96.69
10,13.032666666666662,108.67
11,11.784181818181814,110.08
12,10.963636363636361,112.03
13,9.699166666666667,108.27
14,9.443516483516488,115.06
15,9.038619047619049,117.54
16,9.051124999999999,126.55
17,8.087830882352945,119.18
18,6.356984864121086,96.76
19,6.682657894736844,108.99
20,8.021690476190477,143.09
21,7.009718614718614,128.77
22,6.904071146245059,133.54
23,7.564275362318839,155.81
24,7.566861538461536,166.22
25,6.1286324786324755,136.64
26,5.969236453201972,139.02
27,6.037931034482759,148.37
28,5.987096774193551,152.49
29,6.129232954545456,164.79
30,5.737433155080215,158.44
31,5.912032212885155,171.45
32,5.9266291291291315,179.19
33,6.471900098479048,206.67
34,5.781769230769232,189.03
35,5.520020905923344,185.48
36,5.477685492801772,190.42
37,5.852926474042755,215.09
38,4.711628019323672,168.59
39,4.988843663274746,186.5
40,5.640667517006801,224.4
41,5.183203761504604,208.94
42,5.558239064856712,235.61
43,5.2308716336074825,225.09
44,4.890103655603655,214.6
45,4.613724937343358,204.56
46,5.069231289796673,237.47
47,5.240600861350376,255.81
48,4.626719380860047,226.55
49,4.663464906621155,236.37
50,4.650270040173464,243.32
51,4.942302033857021,271.07
52,4.736695282807957,265.15
53,4.651693354313216,267.58
54,4.555166309508414,267.42
55,4.661841323233729,284.92
56,3.6995873964682,216.16
57,3.881501507384552,237.6
58,5.269081395348837,362.18
59,3.6486575964132104,230.89
60,4.4069233048474645,305.86
61,4.155209813561847,291.14
62,4.149555698292575,298.91
63,4.37920156421675,330.32
64,4.562853867739715,357.47
65,3.308772984249712,237.97
66,4.537883366501246,375.33
67,4.124525670764417,341.33
68,4.2261699041013205,362.07
69,3.6518166918736483,308.23
70,4.248387929287345,389.87
71,4.046087795718375,376.72
72,3.4778259991756113,315.38
73,4.077032051592412,402.37
74,4.044925554234642,409.38
75,3.421591729127306,333.91
76,4.440086282412024,486.2
77,3.9167550936310302,424.67
78,3.525219431965271,379.09
79,3.925079403973191,452.93
80,3.2580172531312894,359.2
81,3.6080897977966644,429.86
82,3.796057422975197,475.67
83,3.4603201168621083,434.81
84,3.7119864058769174,497.1
85,3.2922596378025646,434.35
86,3.6974832775336717,530.14
87,3.3282948566611155,475.81
88,3.5888683600710682,548.52
89,2.8172292617404713,398.96
90,3.5920724198082037,591.23
91,3.017552541113294,478.74
92,3.0743544648123873,514.64
93,3.151732950468571,559.58
94,3.2234037220092855,609.92
95,3.5762972864596203,747.56
96,3.110192944538095,650.78
97,2.5340499323593977,507.63
98,2.821753330499127,666.64
99,2.4599820587702594,595.75
100,2.346372911208704,740.79
