percentage,gemiddeldNormTAT,gemiddeldWait
1,17.82,16.82
2,14.4,13.4
3,10.535,17.22
4,8.413333333333336,21.26
5,4.941666666666666,15.24
6,6.778500000000001,27.68
7,6.947333333333332,35.23
8,4.847023809523808,26.9
9,4.757916666666665,30.9
10,7.740666666666662,61.0
11,6.174818181818182,52.72
12,5.30121212121212,48.31
13,5.193076923076924,52.45
14,5.108571428571427,56.22
15,5.201428571428572,61.63
16,5.27375,67.1
17,5.958419117647059,83.8
18,5.091965944272444,73.8
19,4.607289473684212,69.02
20,5.476833333333334,91.13
21,5.913766233766234,105.38
22,5.663083003952568,105.93
23,5.978949275362319,118.31
24,6.085169230769229,128.9
25,4.058376068376069,81.41
26,5.4056102900930485,123.5
27,5.277,125.97
28,5.105258064516129,125.61
29,4.865600562072337,124.13
30,5.01049019607843,134.29
31,5.064233426704015,141.78
32,5.491539039039038,163.65
33,5.673106831527884,176.5
34,5.9950705128205115,197.4
35,5.335655342624856,177.89
36,5.801184939091915,204.35
37,6.098098543575288,226.4
38,5.008608695652175,182.13
39,5.405901942645698,206.05
40,6.0215518707483,242.83
41,5.65653893557423,232.43
42,6.589611613876319,289.08
43,5.556091490619791,242.63
44,4.9846612554112575,220.12
45,5.013370927318295,227.4
46,5.437188573420693,259.05
47,5.982398305084747,300.86
48,5.625010744294192,288.87
49,5.581439550033302,295.47
50,5.764066765104958,317.61
51,5.981755267324322,342.38
52,5.915806505700872,348.83
53,6.101978382492081,373.92
54,5.353975518649203,327.63
55,5.970125591707871,386.84
56,4.441100914205343,275.62
57,4.699461378874642,305.13
58,6.7674143703993215,489.16
59,4.2618085830235,284.32
60,5.4951071890032575,403.71
61,4.930871119296784,362.78
62,5.390883668828041,416.59
63,5.736193446138217,463.19
64,6.014060213668422,503.01
65,4.850157499220752,396.98
66,6.147157677742232,546.54
67,5.699712552036653,513.2
68,5.767086962578055,535.46
69,5.156283800567524,483.19
70,6.107481214576222,612.82
71,5.553085747906675,562.92
72,5.056776298901954,516.61
73,5.779628406240778,625.33
74,5.512734298277061,606.82
75,4.786495378075156,522.16
76,6.962491532890246,842.98
77,5.51072658171219,656.54
78,5.166287363707918,625.73
79,5.943616048653902,765.66
80,4.78867939922647,602.78
81,5.453543034966593,734.18
82,5.602139208112971,783.08
83,5.388842661762941,775.05
84,5.841173194207671,887.34
85,5.100429502565697,777.58
86,6.030069153300932,988.03
87,5.534925362116781,927.13
88,5.558604405130444,965.87
89,4.636306098955208,797.84
90,5.844204467451752,1105.51
91,4.980408887526432,944.44
92,5.091165324255445,1015.64
93,5.626221179982947,1202.15
94,5.737582597918077,1299.71
95,6.17125851934554,1500.25
96,5.627801933478475,1427.5
97,4.81826479528641,1268.75
98,5.4286698605235575,1619.08
99,5.130457726766804,1696.69
100,4.883463428097897,2194.01
