percentage,gemiddeldNormTAT,gemiddeldWait
1,67.6,66.6
2,95.02,94.02
3,51.745,89.22
4,29.80666666666665,81.98
5,21.225,77.27
6,17.6185,78.29
7,13.91433333333333,75.05
8,12.422678571428575,79.52
9,10.822361111111109,80.45
10,11.233111111111109,92.31
11,8.563999999999997,77.22
12,8.219242424242422,81.26
13,7.7348076923076885,84.16
14,6.342967032967031,72.95
15,6.170857142857143,75.53
16,6.388208333333333,84.5
17,6.203345588235297,87.39
18,4.511726866185069,63.32
19,4.456552631578948,66.22
20,5.036214285714287,82.19
21,4.977186147186149,84.94
22,4.6776482213438735,82.92
23,5.013079710144929,95.2
24,4.833107692307691,96.82
25,4.705811965811964,98.73
26,3.661992337164753,74.73
27,4.126471264367816,91.91
28,3.9065591397849455,88.88
29,3.6584668255131962,85.5
30,3.469527629233511,82.58
31,3.424743697478992,84.52
32,3.2254954954954953,81.13
33,3.712826348615821,102.37
34,3.1922692307692295,86.51
35,3.4090952380952384,98.78
36,3.100575858250277,89.15
37,2.9808785529715767,87.78
38,2.537787439613527,69.78
39,2.8348751156336736,85.65
40,2.8110034013605447,87.54
41,2.9307707883153262,96.63
42,2.7493476621417807,90.3
43,2.9786776326398967,105.3
44,2.668599086099087,91.98
45,3.07407268170426,117.37
46,2.5604505419012167,91.19
47,2.918161526349914,115.37
48,2.5745922624293867,98.14
49,2.362380275974026,88.05
50,2.3960675233458373,93.04
51,2.4264847156253806,97.96
52,2.5384725575676286,109.24
53,2.4327832798551974,105.18
54,2.7315710985079407,130.28
55,2.4298070494905932,111.43
56,2.2170559657759026,97.32
57,2.3504904532311715,111.22
58,2.642885088919288,139.46
59,2.4015046110665597,122.09
60,2.573408914119589,141.08
61,2.461012193743611,134.82
62,2.2220190813555853,116.04
63,2.545922695421498,151.18
64,2.335994781831124,134.2
65,2.039791767864726,107.02
66,2.222954690110923,129.63
67,2.3921595488101106,152.19
68,2.45927012767808,163.91
69,2.301091639077188,151.13
70,2.431076576468619,172.0
71,2.222680412463792,151.5
72,2.225143655734893,155.99
73,2.509274478938423,197.37
74,2.488168145980412,199.8
75,2.309610658930379,180.31
76,2.505272394708976,212.68
77,2.370567497097611,199.79
78,2.4265082058912855,214.52
79,2.0336610502445174,159.86
80,2.3462409119272474,214.14
81,2.138336764634348,187.08
82,2.4207308086084636,241.88
83,2.3598545152530708,239.68
84,2.7395408601024887,319.17
85,2.4786316889166504,280.14
86,2.6505006389629533,324.14
87,2.3555641631827218,277.01
88,2.5014254772127176,318.45
89,2.4816995866351714,325.18
90,2.875747786861501,427.52
91,2.4684970468399916,348.58
92,2.793428915178521,444.13
93,2.9609831460378855,509.96
94,3.1314985762371306,585.74
95,3.4724015453350927,714.4
96,2.740420849456192,538.35
97,3.9621209355747826,984.04
98,4.791530741237128,1386.67
99,4.307529233401397,1369.33
100,3.873917621772319,1584.45
