percentage,gemiddeldNormTAT,gemiddeldWait
1,1.01,0.01
2,1.0,0.0
3,1.01,0.02
4,1.01,0.03
5,1.0175,0.07
6,1.0234999999999999,0.11
7,1.024,0.14
8,1.0357142857142856,0.25
9,1.0276388888888888,0.23
10,1.0176666666666667,0.16
11,1.0147272727272725,0.15
12,1.0298484848484848,0.35
13,1.0923076923076922,1.12
14,1.0681868131868133,0.92
15,1.0582857142857143,0.84
16,1.1023333333333334,1.62
17,1.042794117647059,0.72
18,1.0712160302717577,1.29
19,1.0585263157894738,1.12
20,1.0864999999999998,1.77
21,1.1185281385281385,2.55
22,1.1044268774703558,2.37
23,1.081268115942029,1.93
24,1.066476923076923,1.7
25,1.123903133903134,3.3
26,1.1097473088852403,3.08
27,1.115574712643678,3.42
28,1.0933870967741937,2.85
29,1.1299514296187683,4.15
30,1.1181639928698752,3.96
31,1.1711297852474323,5.98
32,1.1159084084084083,4.19
33,1.1823385126016706,6.89
34,1.1921602564102562,7.61
35,1.1802871660859464,7.41
36,1.2056146179401994,8.74
37,1.130329457364341,5.77
38,1.2288647342995167,10.37
39,1.2003977798334875,9.39
40,1.2553358843537417,12.34
41,1.2374729891956777,11.84
42,1.2721568627450983,14.02
43,1.2081566145245386,11.08
44,1.314659211159211,17.31
45,1.200889724310777,11.37
46,1.2633252330123965,15.31
47,1.2609843011947763,15.77
48,1.3345867224026926,20.86
49,1.2045183635808636,13.19
50,1.2560398542049114,17.04
51,1.376110400682012,25.85
52,1.3202175832774414,22.79
53,1.2399774774774779,17.55
54,1.3484096475833318,26.27
55,1.3567549117549114,27.78
56,1.328070792311299,26.23
57,1.3910178564302378,32.25
58,1.4037779949188982,34.17
59,1.2384987606619524,20.78
60,1.427625163226287,38.4
61,1.3784381502088374,34.88
62,1.471070162644945,44.67
63,1.4925817034483273,48.1
64,1.4568169375761104,45.87
65,1.452829461657703,46.65
66,1.4895056049575541,51.95
67,1.5164621236250326,56.33
68,1.6155256466626984,69.15
69,1.4388652862491187,51.03
70,1.645967088105109,77.49
71,1.6321700597385216,78.25
72,1.5760550291406157,73.27
73,1.6062630213150362,79.41
74,1.6969308428228187,93.44
75,1.7797596421176254,107.33
76,1.7540068165361091,106.57
77,1.8834176115047208,128.83
78,1.8775631644500042,131.9
79,1.8530932510818408,131.94
80,1.657711542216906,104.61
81,1.847416390139322,139.43
82,1.89671326862056,152.84
83,1.9159514444484873,161.48
84,2.2128922465243606,222.42
85,2.3058107664373937,247.78
86,2.4048669165277428,276.27
87,2.136443809619786,232.49
88,2.2977627695981346,275.08
89,2.1446422551455306,250.78
90,2.6389089241278585,373.53
91,2.2405727941729023,294.86
92,2.6495854735969004,408.7
93,3.1398385014030397,556.66
94,3.0860346823034104,573.15
95,3.758854395068492,797.07
96,3.01260255804788,623.03
97,4.193866914446598,1063.85
98,5.3071124022556155,1567.45
99,5.342790226699038,1806.41
100,5.519394814288567,2565.97
