percentage,gemiddeldNormTAT,gemiddeldWait
1,34.56,33.56
2,28.31,27.31
3,20.045,34.36
4,15.605000000000002,41.86
5,8.924166666666668,30.61
6,7.618,30.73
7,6.644333333333332,33.46
8,4.5477380952380955,24.81
9,4.750694444444444,31.09
10,9.740444444444444,79.09
11,7.68027272727273,68.08
12,6.5675,62.54
13,5.680128205128206,58.21
14,4.956978021978021,54.13
15,5.036619047619049,59.22
16,5.0960833333333335,64.33
17,6.654154411764705,95.66
18,5.756628826969384,85.77
19,5.173078947368424,79.85
20,5.907785714285712,99.71
21,5.746406926406926,101.78
22,5.496343873517784,102.16
23,5.805597826086956,114.21
24,6.645446153846151,143.11
25,4.411410256410254,90.81
26,5.767866721401203,133.59
27,5.148712643678161,122.2
28,4.979333333333333,121.77
29,4.8242225684261975,122.9
30,5.354180035650622,145.8
31,5.37140756302521,152.5
32,5.618513513513514,168.16
33,5.507449757449755,170.24
34,5.87573076923077,192.68
35,5.5430145180023205,186.46
36,6.119080841638981,217.88
37,6.200178764388068,230.82
38,4.899589371980677,177.16
39,5.274435707678075,199.91
40,6.047908163265306,244.19
41,5.884064665866345,243.79
42,6.861221719457014,303.13
43,5.503841047142933,239.8
44,4.873454184704186,213.97
45,5.093847117794484,232.02
46,5.616471131071396,269.51
47,6.018379642493289,302.94
48,5.480308856488126,279.84
49,5.615153932872683,297.72
50,5.93047895548993,328.7
51,5.958221410303252,340.7
52,5.805201095461659,340.98
53,6.240044222304494,384.04
54,5.465747565473879,336.04
55,5.850547448332257,377.54
56,4.4238516565088295,274.29
57,4.799470611831764,313.38
58,6.757727509608491,488.24
59,4.190439965006925,278.1
60,5.581294922306158,411.47
61,4.93712413112834,363.3
62,5.311008799774831,409.02
63,5.807313407985809,470.16
64,6.026733851032161,504.22
65,4.779574695673641,389.72
66,6.229214273118877,555.25
67,5.651675065570117,507.87
68,5.760668281562554,534.83
69,5.1415980892647974,481.4
70,6.063120176008834,607.58
71,5.5693984273899275,564.88
72,4.993932624791813,508.64
73,5.836606400966333,632.79
74,5.415981460077505,593.81
75,4.805803317652996,524.84
76,6.898999774207747,833.91
77,5.507840605037524,656.17
78,5.085875372071223,613.62
79,5.963681221144669,768.77
80,4.740589554409034,595.18
81,5.412400596082117,727.32
82,5.582478125721987,779.75
83,5.350877148205974,768.43
84,5.791863538979311,878.34
85,5.06285397528263,770.38
86,6.000116736258543,982.08
87,5.487669772285846,917.38
88,5.526138888542492,958.92
89,4.601006047684555,790.05
90,5.794542668865023,1094.13
91,4.9521242585335195,937.73
92,5.057085652109469,1007.15
93,5.575057570921563,1188.96
94,5.684591062637516,1285.18
95,6.131437648497719,1488.71
96,5.578441805719368,1412.31
97,4.781547565301331,1256.49
98,5.386320673429483,1603.63
99,5.086314582711124,1678.53
100,4.851557403947973,2175.9
