percentage,gemiddeldNormTAT,gemiddeldWait
1,12.248,11.248
2,12.316,12.564
3,6.569333333333334,11.79
4,4.832999999999999,11.902
5,3.9502999999999977,12.318
6,3.3560000000000003,12.208
7,3.2926190476190493,14.22
8,2.9718214285714275,14.39
9,2.6541944444444434,13.926
10,2.404844444444445,13.314
11,2.310618181818183,13.822
12,2.177969696969696,13.688
13,2.1481282051282045,14.642
14,2.0747692307692307,14.826
15,1.9456107142857169,14.212
16,2.356051470588235,22.02
17,2.2592287581699337,21.924
18,2.220380116959063,22.814
19,2.1040328320802004,22.052
20,2.134774891774891,24.108
21,1.9460158102766807,21.336
22,1.9174602898550734,21.832
23,1.8757384615384634,22.042
24,1.8498461538461521,22.454
25,1.7785661375661392,21.536
26,1.7524845648604275,21.952
27,1.7045806451612902,21.46
28,1.7222516495601172,22.956
29,1.7025472370766481,23.428
30,1.665220168067227,23.06
31,2.30970827970828,47.3
32,2.404238975817923,52.588
33,2.247482793522266,48.472
34,2.3198402439024384,53.326
35,2.137018988196527,47.504
36,2.079059196617336,46.936
37,2.2297028985507237,55.366
38,2.1543182238667895,53.71
39,2.092446446663772,52.688
40,1.9487741496598647,47.29
41,1.9278989441930603,47.836
42,2.014507230016665,54.166
43,1.9497091871091883,52.2
44,1.9249468282775901,52.46
45,1.9938778492109883,58.196
46,1.7738127257571563,46.738
47,1.8874073346595812,55.2
48,1.8365131562881567,53.59
49,4.584779062728319,237.246
50,5.479844276062146,303.996
51,4.974232671390663,277.246
52,5.141686212403801,297.534
53,4.603417317043069,266.582
54,4.799133934837089,289.154
55,4.824587169370714,299.394
56,4.556874706413726,287.258
57,4.372945671186488,280.1
58,4.170014104214259,271.142
59,4.374201152360488,296.712
60,4.378299189200313,304.392
61,4.238975952295148,299.684
62,4.174012910600969,301.08
63,3.9152778289150723,283.34
64,3.9025930541217404,289.978
65,3.6915937571088744,276.3
66,4.6100979904184465,381.48
67,6.016235539654457,543.328
68,5.806091625794284,535.086
69,5.4318837484611215,507.878
70,5.418126289902136,521.538
71,5.1149852893553325,499.528
72,5.1576112819552185,518.688
73,4.832562124821184,491.064
74,4.8460697277169595,507.688
75,4.746195064728483,508.226
76,4.508759478633556,489.614
77,4.476088054673094,498.75
78,6.245909012939752,775.67
79,6.037519366847348,767.882
80,5.883466049490863,767.168
81,5.817529450996973,780.214
82,5.550143176257581,761.222
83,5.230256002388096,730.352
84,5.208493886851393,751.256
85,5.533802367681023,839.454
86,6.126773706772256,982.06
87,5.797980730683624,953.338
88,5.377342673141694,903.136
89,5.767972724271109,1023.514
90,5.714260728645122,1058.316
91,5.985204425488176,1168.386
92,6.01737219870627,1236.564
93,5.654971081989974,1209.04
94,6.271232949684442,1450.606
95,5.637057120904802,1358.48
96,5.730586003368709,1480.556
97,6.140753544003171,1737.222
98,6.020832596375519,1850.97
99,5.925586947759014,2073.702
100,5.748141773334657,2662.552
