percentage,gemiddeldNormTAT,gemiddeldWait
1,13.604,12.604
2,15.428,15.798
3,7.437999999999999,13.644
4,5.1431666666666676,12.886
5,5.1939,18.236
6,6.576133333333333,28.766
7,5.623476190476188,28.96
8,5.012571428571429,29.326
9,5.135194444444442,35.156
10,5.626422222222223,43.544
11,5.526436363636363,47.69
12,4.73516666666667,43.356
13,5.594038461538461,58.848
14,5.523208791208791,62.486
15,5.118661904761905,61.954
16,5.209102941176471,68.334
17,5.170862745098043,72.856
18,5.24243859649123,79.268
19,5.153647368421051,83.08
20,5.480021645021641,95.186
21,5.128600790513834,92.968
22,4.975741449275359,94.548
23,5.364815384615392,109.834
24,5.047541310541312,107.026
25,5.047582010582008,111.936
26,5.4656793103448305,130.156
27,5.034240860215058,122.89
28,5.271430107526878,135.822
29,5.441522281639924,148.086
30,5.050478991596644,140.498
31,4.797444229944228,136.904
32,5.274086770981508,159.916
33,4.936539001349525,153.174
34,5.06064390243902,164.158
35,4.9539707749236985,165.064
36,4.720418604651159,161.786
37,5.647136802810713,209.046
38,5.253037002775203,197.908
39,4.921005898103925,189.03
40,5.17434194477791,208.57
41,4.892306184012068,200.698
42,5.251566951566952,226.952
43,4.649868013468016,200.676
44,5.258200350012961,241.502
45,5.104627703097603,240.252
46,5.149878484764287,250.71
47,5.231428126547639,263.266
48,5.140044421550672,265.068
49,5.10744551369029,270.742
50,5.226341495845583,286.884
51,4.838601592161665,267.832
52,5.178537151370934,300.21
53,4.757373629519928,277.892
54,5.038642920938711,307.372
55,5.235708464004343,331.612
56,5.089540650406503,330.296
57,4.934202552369757,326.696
58,4.742988009317598,320.248
59,5.085610269686403,359.38
60,5.179823904185697,376.584
61,5.218647284479221,390.37
62,5.225085367674504,400.818
63,4.836848306332841,372.92
64,5.083731539929497,408.046
65,4.854398005839772,395.692
66,4.691125386404579,389.342
67,5.259431976081375,461.404
68,4.979734769121491,443.17
69,4.867090043054856,443.236
70,4.924676382223379,463.252
71,4.7688700915226185,457.528
72,4.954848803766561,493.506
73,4.839606142049354,492.03
74,4.871744590430926,511.188
75,4.870211489165585,525.19
76,4.702614444139149,516.654
77,4.763925150362294,540.068
78,5.199548701546387,620.984
79,5.099330252622359,624.878
80,5.097343375129873,643.676
81,5.04600645640144,655.342
82,5.005966531144503,670.216
83,4.8357679777734655,662.426
84,5.011816014437115,716.326
85,4.907900383883295,722.834
86,5.023586179994073,770.766
87,4.938631505822159,782.57
88,4.690615052181617,761.658
89,5.226806671706687,907.542
90,4.989182685238314,894.606
91,4.948846297121515,925.748
92,5.16911398811789,1027.752
93,5.005093248702392,1040.014
94,5.150623913726053,1142.17
95,4.843871486112838,1126.562
96,4.798808940103279,1188.754
97,5.221962720211362,1426.848
98,5.077089009933254,1504.546
99,4.922754803902799,1651.864
100,4.981670734922478,2229.254
