percentage,gemiddeldNormTAT,gemiddeldWait
1,23.735,22.735
2,31.1825,31.61
3,12.452500000000002,23.745
4,10.197916666666668,29.39
5,7.893749999999996,29.145
6,5.757999999999998,25.79
7,5.133928571428572,26.525
8,4.7231250000000005,27.94
9,7.5387499999999985,58.095
10,7.30411111111111,61.385
11,6.55656818181818,61.15
12,5.489166666666666,55.42
13,5.227170329670331,56.19
14,6.02085714285714,72.775
15,4.3289375,51.985
16,6.280569852941177,88.7
17,5.723237874097006,85.27
18,5.508776315789475,86.98
19,5.816821428571432,99.03
20,5.953745529832483,108.565
21,4.729048913043479,87.055
22,6.330950000000002,131.195
23,5.936016239316237,127.1
24,5.989186507936511,135.775
25,6.247998768472904,149.43
26,4.917128661475712,117.285
27,4.88594758064516,121.875
28,6.125658700980388,167.6
29,5.467294117647059,153.405
30,6.138168811668811,182.87
31,5.404359886201991,164.145
32,5.2360526315789455,163.57
33,5.515899624765474,181.535
34,5.934712543554009,204.625
35,5.638337108627805,200.1
36,5.686964646464648,208.83
37,5.258453592352761,195.9
38,5.488388741134753,212.98
39,5.831442772108841,238.285
40,5.873884539969842,247.59
41,4.838427068214804,201.64
42,5.0442191093323165,218.935
43,5.807670454545455,267.47
44,5.995225563909774,286.62
45,5.59708294369764,271.925
46,5.458229243786357,272.57
47,5.3208044514848964,271.48
48,5.184558930652682,271.175
49,5.9056843123952465,328.005
50,4.804480239922056,262.19
51,5.068257740889782,289.17
52,5.036712585873547,294.49
53,5.132928852536745,309.965
54,5.186440571420587,324.66
55,5.6828046179090475,373.275
56,5.210207224562204,344.53
57,5.375852308393237,367.57
58,4.88368961657711,335.05
59,5.771443181818182,424.35
60,5.594845415765474,419.55
61,5.217159737022721,395.925
62,4.830978346547516,370.165
63,5.833795774067199,478.66
64,5.369553557706627,446.405
65,5.508127249653306,473.865
66,5.534401279651818,490.075
67,5.249514749650813,472.515
68,4.816893406580359,436.01
69,5.358391694994172,511.73
70,5.0587037878693,490.145
71,5.049566230153097,500.89
72,5.408187640518405,559.355
73,5.496329560054247,589.17
74,4.870522145323197,521.9
75,5.0348191366153054,559.765
76,6.080838425375963,727.43
77,6.351526415810983,789.215
78,5.71584886318259,715.485
79,4.91393035173587,610.77
80,5.663516817095559,752.295
81,5.371300960845966,727.91
82,5.198242913365501,718.825
83,5.689775584799644,829.38
84,5.297882252599496,784.825
85,5.546237571404812,859.01
86,5.102093788854292,804.055
87,5.506982980905953,918.395
88,5.811621755661651,1018.955
89,4.911953512590462,861.185
90,5.046975723140893,927.33
91,5.2525622853766345,1017.06
92,5.453602036201643,1109.46
93,5.314730358369662,1126.195
94,5.475975983254675,1233.765
95,5.121422631084638,1196.22
96,5.263817373687467,1320.955
97,4.883865887699073,1302.275
98,5.314980194921457,1588.51
99,5.031628006594811,1683.2
100,6.041439266052705,2740.63
