percentage,gemiddeldNormTAT,gemiddeldWait
1,11.92,10.92
2,12.4825,11.93
3,6.960000000000001,12.45
4,4.5025,11.095
5,3.9844999999999993,12.61
6,3.2676666666666665,12.385
7,3.2019047619047627,14.285
8,2.8955357142857143,14.225
9,2.596180555555554,14.015
10,2.563444444444444,15.325
11,2.1231969696969695,12.38
12,2.038974358974359,12.865
13,2.049120879120879,14.01
14,1.9639761904761905,14.055
15,2.1591666666666667,18.235
16,2.406783088235296,23.435
17,2.3202579979360145,23.83
18,2.0888552631578943,21.045
19,2.1788571428571424,24.32
20,1.9951759834368523,21.855
21,1.9690217391304359,22.72
22,1.8168083333333331,20.025
23,1.8530746438746437,21.935
24,1.8439484126984138,22.98
25,1.8010899014778334,22.85
26,1.7225926955876902,21.62
27,1.6658719758064515,20.86
28,1.7203425802139034,23.535
29,1.6353319327731097,21.87
30,2.1494505577005576,41.205
31,2.344487908961593,50.055
32,2.4801045883940636,57.18
33,2.384439024390245,55.765
34,2.274015679442509,52.915
35,2.1543811033927316,49.86
36,2.290583333333332,57.58
37,2.1901320279576537,54.78
38,2.0293151595744687,48.945
39,2.2644925170068024,62.455
40,2.0064987933634986,51.19
41,2.064354136429609,55.87
42,1.91926478622705,49.77
43,1.9039756493506497,50.265
44,1.9364712967764257,53.72
45,1.8800510422754726,52.065
46,1.7826985281156362,47.875
47,1.8375145609318995,52.7
48,2.3425466200466203,87.7
49,6.136794669699629,343.545
50,5.0064698270612595,276.15
51,5.269236697965571,303.6
52,5.0363554907647385,294.305
53,4.738853840682785,280.42
54,4.707456150611547,287.41
55,5.29185341459603,342.15
56,4.683237738669224,301.485
57,4.815705123013058,320.49
58,4.4196296503765895,295.045
59,4.846863707297697,342.035
60,4.475019269300122,317.435
61,4.279043859649124,307.9
62,3.7474160097639158,265.39
63,4.615911337868481,357.965
64,4.0357711841012325,310.185
65,5.0172567420162855,423.04
66,6.335658638674605,576.42
67,6.2200690916752865,580.6
68,5.321025633026523,493.79
69,5.973056844056693,583.84
70,5.547186559944399,548.945
71,5.451529370402374,550.715
72,5.542877088751445,576.47
73,5.526069509418484,593.25
74,4.957458141938808,533.59
75,4.882113740663746,538.585
76,5.752489436796863,680.475
77,8.183637441441029,1059.605
78,6.7874647578813505,877.85
79,5.8277735062381275,753.32
80,6.349177027036154,862.87
81,6.166636828446835,860.295
82,5.706481591456104,805.845
83,6.033036865090303,889.785
84,5.4820751409897,818.52
85,6.883820851622546,1112.27
86,6.242486688095218,1027.22
87,6.355367578975592,1091.1
88,6.706047405851166,1208.25
89,5.331084861070305,953.375
90,6.154938529712391,1181.655
91,6.487422525428265,1312.105
92,6.474946247453364,1363.55
93,6.113578591419432,1335.025
94,6.653168720489078,1558.16
95,5.9318234676278845,1430.545
96,6.540355156922374,1716.67
97,6.023572664618544,1684.135
98,6.400011243620629,1986.675
99,5.970642953446741,2075.705
100,7.507179578602859,3537.71
